1729276141312,player decapitated,Annhilati,WhyComfy,§b[Netherite Sword]
1729276648390,mob decapitated,Enderman,WhyComfy,§b[Stick]
1729276650607,mob decapitated,Enderman,WhyComfy,§b[Stick]
1729276651203,mob decapitated,Enderman,WhyComfy,§b[Stick]
1729276652099,mob decapitated,Enderman,WhyComfy,§b[Stick]
1729346905478,mob decapitated,Drowned,Ichbineindino,§f[Iron Sword]
1729351418439,mob decapitated,Spider,Morbus_Krabus,§f[Iron Sword]
1729354839984,mob decapitated,Hoglin,Ichbineindino,§f[Diamond Axe]
1729356763901,mob decapitated,Creeper,WhyComfy,§f[Iron Axe]
1729359096454,mob decapitated,Skeleton,BasisZock,§f[Diamond Sword]
1729418980739,mob decapitated,Skeleton,BasisZock,§f[Diamond Sword]
1729420155844,mob decapitated,Wither Skeleton,Ichbineindino,§b[Diamond Sword]
1729420347770,mob decapitated,Wither Skeleton,Ichbineindino,§b[Diamond Sword]
1729420425785,mob decapitated,Wither Skeleton,Ichbineindino,§b[Diamond Sword]
1729420483285,mob decapitated,Wither Skeleton,Ichbineindino,§b[Diamond Sword]
1729423723796,mob decapitated,Cow,Arminodo,§f[Iron Axe]
1729425956417,mob decapitated,Silverfish,Goggelha,§f[Iron Sword]
1729426428702,mob decapitated,Silverfish,WhyComfy,§f[Diamond Sword]
1729426477981,mob decapitated,Silverfish,WhyComfy,§f[Diamond Sword]
1729426730368,mob decapitated,Silverfish,WhyComfy,§f[Diamond Sword]
1729426736273,mob decapitated,Silverfish,WhyComfy,§f[Diamond Sword]
1729426747202,mob decapitated,Silverfish,WhyComfy,§f[Diamond Sword]
1729426895304,mob decapitated,Silverfish,Goggelha,§f[Diamond Sword]
1729426947584,mob decapitated,Silverfish,Goggelha,§f[Diamond Sword]
1729427143417,mob decapitated,Silverfish,Goggelha,§f[Diamond Sword]
1729427262254,mob decapitated,Silverfish,Goggelha,§f[Diamond Sword]
1729427356953,mob decapitated,Silverfish,Goggelha,§b[Diamond Sword]
1729427356966,mob decapitated,Silverfish,Goggelha,§b[Diamond Sword]
1729427962263,mob decapitated,Silverfish,Goggelha,§b[Diamond Sword]
1729428278429,mob decapitated,Silverfish,WhyComfy,§b[Diamond Sword]
1729429114345,mob decapitated,Silverfish,Goggelha,§f[Diamond Sword]
1729429579681,mob decapitated,Silverfish,BasisZock,§b[Diamond Sword]
1729429595631,mob decapitated,Silverfish,BasisZock,§b[Diamond Sword]
1729430288257,mob decapitated,Silverfish,WhyComfy,§b[Diamond Sword]
1729433787713,mob decapitated,Piglin,Morbus_Krabus,§f[Diamond Sword]
1729436161456,mob decapitated,Silverfish,Goggelha,§f[Diamond Sword]
1729436573952,mob decapitated,Silverfish,Goggelha,§b[Diamond Sword]
1729436691444,mob decapitated,Silverfish,Goggelha,§b[Diamond Sword]
1729436948214,mob decapitated,Silverfish,Goggelha,§b[Diamond Sword]
